@RELATION LinearSeparableYequalX
 
@ATTRIBUTE X  NUMERIC
@ATTRIBUTE Y   NUMERIC
@ATTRIBUTE class        {0, 1}

@DATA
0.56206,0.1565,0
0.6948,0.45731,0
0.73427,0.034866,0
0.69375,0.40773,0
0.94521,0.036382,0
0.70557,0.15483,0
0.5909,0.25448,0
0.45938,0.32415,0
0.83419,0.38619,0
0.86371,0.16689,0
0.66904,0.094629,0
0.50021,0.32319,0
0.57162,0.23412,0
0.43518,0.3253,0
0.86387,0.26296,0
0.90805,0.23365,0
0.517,0.38457,0
0.84871,0.23478,0
0.91682,0.52856,0
0.98697,0.051436,0
0.76289,0.40951,0
0.6616,0.54088,0
0.51698,0.20773,0
0.93856,0.32581,0
0.59048,0.095949,0
0.94192,0.74851,0
0.65591,0.5433,0
0.45195,0.33813,0
